hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Resort Hotel,0,0,2017,January,4,27,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient-Party,76,0,1,Check-Out,28-01-2017,Adam Johnson,Johnson_Adam@outlook.com,973-506-5745,************7617
Resort Hotel,0,2,2015,December,49,2,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,,0,Transient,38,0,0,Check-Out,03-12-2015,Ernest Craig,ErnestCraig@outlook.com,395-694-1623,************8924
City Hotel,0,115,2015,July,31,29,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,76.5,0,1,Check-Out,05-08-2015,Dr. Jennifer Clayton DDS,DDS_Dr.@gmail.com,630-691-1754,************5046
Resort Hotel,0,45,2016,October,44,26,1,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,94,1,2,Check-Out,31-10-2016,Erin Valenzuela,Erin.V@protonmail.com,236-016-6747,************2677
City Hotel,0,216,2017,May,19,11,2,4,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,147.6,0,0,Check-Out,17-05-2017,Melissa Sanders,MSanders56@yandex.com,302-772-2763,************2245
City Hotel,0,80,2016,November,47,19,2,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,93.6,0,1,Check-Out,22-11-2016,Debra Greene,Debra_Greene@att.com,708-959-1150,************8841
City Hotel,1,25,2015,July,31,27,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Canceled,22-07-2015,Kathryn Vaughan,Kathryn.V@protonmail.com,590-957-1570,************5484
City Hotel,0,81,2016,May,21,15,2,0,2,0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,No Deposit,133,,0,Transient-Party,90,0,1,Check-Out,17-05-2016,Abigail Davis,ADavis@outlook.com,705-085-8475,************4544
City Hotel,0,2,2017,April,14,5,0,1,1,0,0,BB,PRT,Complementary,Direct,1,0,11,A,E,0,No Deposit,,45,0,Transient,0,0,2,Check-Out,06-04-2017,Ashley Bernard,AshleyBernard29@att.com,462-532-0723,************9723
Resort Hotel,0,4,2016,March,12,14,1,1,1,0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,5,,0,Group,34.4,0,0,Check-Out,16-03-2016,Joseph Mejia,Joseph_Mejia32@xfinity.com,895-524-3739,************5225
Resort Hotel,0,6,2015,November,47,15,2,5,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,6,,0,Transient,69,1,0,Check-Out,22-11-2015,Rebekah Cowan,Rebekah.C68@att.com,104-343-9196,************6852
City Hotel,1,290,2016,December,49,1,1,3,2,0,0,BB,SVK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,86.7,0,0,Canceled,27-10-2016,Alicia Moss,Alicia_Moss63@outlook.com,525-099-4567,************5030
City Hotel,0,190,2016,August,33,10,2,5,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,11,,0,Transient,117.51,0,2,Check-Out,17-08-2016,Alexandria Underwood,Alexandria_Underwood86@aol.com,824-009-6322,************1224
City Hotel,0,29,2017,January,3,18,0,3,1,0,0,BB,DNK,Groups,TA/TO,0,0,0,A,A,0,No Deposit,171,,0,Transient-Party,65,0,0,Check-Out,21-01-2017,Devin Cross,DCross@aol.com,807-557-6316,************3631
Resort Hotel,1,60,2017,June,23,5,3,6,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,147,0,2,Canceled,20-05-2017,Greg Anderson,Greg_A26@protonmail.com,483-495-4761,************7564
City Hotel,1,56,2017,February,5,1,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,60,0,0,Canceled,07-12-2016,Michael Jackson DDS,Michael.D73@yahoo.com,562-046-9098,************2254
City Hotel,0,152,2017,June,26,27,0,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42,,0,Transient,80.1,0,0,Check-Out,02-07-2017,Jacob Johnson,Johnson_Jacob38@verizon.com,192-802-8839,************2509
Resort Hotel,0,117,2015,August,34,20,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,120.6,0,2,Check-Out,22-08-2015,Margaret Bush,Margaret.B@hotmail.com,599-845-5290,************4861
City Hotel,1,305,2016,November,45,4,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21,,0,Transient,89,0,0,Canceled,01-02-2016,Charles Williams,Charles_W@gmail.com,488-182-8953,************2227
City Hotel,0,2,2015,December,50,11,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,63,,0,Transient-Party,75,0,0,Check-Out,12-12-2015,Karen Bender,KarenBender@yahoo.com,576-843-4625,************2590
City Hotel,0,69,2015,October,44,25,2,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,F,1,No Deposit,37,,58,Transient-Party,75.33,0,0,Check-Out,28-10-2015,Theresa Gregory,TGregory53@zoho.com,168-069-0691,************1737
City Hotel,1,46,2016,December,51,16,1,2,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,79.2,0,1,Canceled,14-11-2016,Ryan Randall,Ryan_R@outlook.com,628-987-0842,************4653
City Hotel,0,121,2015,December,53,27,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,72.25,0,1,Check-Out,31-12-2015,Leonard Nicholson,Leonard_Nicholson74@mail.com,367-458-5648,************9171
City Hotel,0,137,2016,August,34,15,1,1,3,0,0,BB,BEL,Direct,Direct,0,0,0,B,B,1,No Deposit,14,,0,Transient-Party,120.63,1,0,Check-Out,17-08-2016,Dr. Deanna Evans,Dr..E@protonmail.com,978-672-7022,************5758
City Hotel,0,24,2016,February,7,13,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14,,0,Transient,76.5,0,2,Check-Out,14-02-2016,Jenna Caldwell,JCaldwell@hotmail.com,852-238-3666,************4953
City Hotel,1,48,2016,October,41,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3,,0,Transient,120,0,0,Canceled,06-09-2016,Michael Fleming,Michael.F@outlook.com,721-652-0502,************6054
City Hotel,0,158,2016,August,33,8,1,2,2,3,0,BB,NLD,Direct,Direct,0,0,0,G,G,0,No Deposit,14,,0,Transient,252.9,1,0,Check-Out,11-08-2016,Andrew Bell,Andrew.B@yandex.com,541-657-8766,************6168
City Hotel,1,23,2016,May,19,7,2,2,2,2,0,BB,CHN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,,0,Transient,198.9,0,0,Canceled,29-04-2016,Sandra Cherry,Cherry_Sandra82@aol.com,792-288-7729,************8154
Resort Hotel,0,294,2016,June,26,21,0,5,1,0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,,0,Transient,64.8,0,1,Check-Out,26-06-2016,Rebecca Green,Rebecca_G@yahoo.com,309-043-2183,************3649
Resort Hotel,0,90,2015,August,36,30,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,132.33,0,1,Check-Out,02-09-2015,Scott Cook,Cook_Scott@mail.com,438-388-9332,************4435
City Hotel,1,182,2016,April,18,27,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3,,50,Transient,75,0,0,Canceled,17-12-2015,Timothy Caldwell,Timothy_Caldwell99@verizon.com,854-484-9924,************5657
City Hotel,0,36,2016,November,48,26,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,,0,Transient,72,0,0,Check-Out,29-11-2016,Samantha Hartman,Samantha_Hartman@yandex.com,431-785-7222,************9151
Resort Hotel,0,156,2016,December,52,22,2,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,E,E,2,No Deposit,250,,0,Transient-Party,64.22,0,2,Check-Out,27-12-2016,Randall Davis,Randall.Davis@verizon.com,204-551-7443,************9284
City Hotel,1,5,2015,September,39,20,2,0,2,0,0,BB,PRT,Corporate,Corporate,1,1,0,A,A,0,Non Refund,78,,0,Transient,100,0,0,Canceled,15-09-2015,Rachel Bailey,Rachel_B94@aol.com,219-569-1302,************6671
City Hotel,0,22,2015,November,47,17,0,1,1,0,0,BB,AUT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,127,0,Transient-Party,62,0,0,Check-Out,18-11-2015,Rachel Hogan,RachelHogan@zoho.com,422-031-2457,************3283
Resort Hotel,1,223,2017,June,23,6,6,15,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,93.5,0,0,Canceled,06-12-2016,Victor Jones,Victor_J@yandex.com,552-642-1238,************6468
Resort Hotel,0,0,2017,March,12,20,1,0,1,0,0,BB,PRT,Direct,Direct,1,0,0,A,D,0,No Deposit,,,0,Transient,70,0,0,Check-Out,21-03-2017,Kenneth Davis,KDavis56@yahoo.com,477-704-8638,************6531
Resort Hotel,1,1,2016,May,20,8,2,0,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,393,,0,Transient-Party,48.6,0,1,Canceled,07-05-2016,Kristen Freeman,Kristen_F@att.com,313-138-0319,************3133
Resort Hotel,0,95,2016,December,52,24,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,57.8,0,2,Check-Out,26-12-2016,Erica Fernandez,Erica_F@xfinity.com,661-002-7915,************3420
City Hotel,0,73,2017,March,10,6,1,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,74.8,0,0,Check-Out,10-03-2017,Stephanie Anderson,Stephanie.Anderson21@xfinity.com,122-070-9417,************9197
City Hotel,1,111,2016,May,21,21,1,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,140.4,0,1,Canceled,02-02-2016,Kimberly Simon,KimberlySimon@xfinity.com,808-356-6763,************7996
City Hotel,0,35,2017,January,1,2,1,4,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,129.7,1,3,Check-Out,07-01-2017,Michaela Holmes,Michaela.Holmes@xfinity.com,517-459-4741,************1615
Resort Hotel,0,67,2016,November,47,18,1,2,2,0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,411,,0,Transient-Party,50,0,0,Check-Out,21-11-2016,Lisa Hogan,Lisa.Hogan@gmail.com,386-214-2618,************9619
City Hotel,0,21,2017,February,8,21,0,2,2,0,0,BB,IND,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,83,,0,Transient,80,0,0,Check-Out,23-02-2017,Jillian Camacho,Jillian.C@zoho.com,539-278-2119,************4405
City Hotel,0,8,2016,January,5,27,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,73.2,0,1,Check-Out,02-02-2016,April Lopez,April_Lopez@aol.com,491-544-0888,************4158
City Hotel,0,14,2017,February,5,3,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,84,0,1,Check-Out,04-02-2017,Jennifer Crawford,JenniferCrawford@comcast.net,794-134-7602,************4006
City Hotel,1,80,2017,March,13,31,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,56,,0,Transient,90,0,0,Canceled,10-01-2017,Stephanie Johnson,Johnson.Stephanie22@att.com,251-728-8913,************6668
City Hotel,1,104,2016,October,42,11,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,132.3,0,0,Canceled,06-07-2016,Yolanda Hernandez,Yolanda_Hernandez@yandex.com,264-698-5297,************4560
City Hotel,1,81,2016,March,13,25,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,4,Transient-Party,65,0,0,Canceled,16-03-2016,Dawn Jackson,Dawn.Jackson47@outlook.com,180-074-6190,************8145
City Hotel,1,594,2017,February,8,23,0,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,59,0,0,Canceled,21-10-2015,Tyler Gonzales,Tyler.Gonzales@att.com,573-625-8206,************1947
City Hotel,1,0,2017,March,11,17,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,12,0,0,Canceled,17-03-2017,Michelle Morales,Michelle.Morales@verizon.com,461-029-0459,************8725
Resort Hotel,0,75,2015,September,39,22,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,90.71,1,2,Check-Out,29-09-2015,Eddie Watts,Eddie_W@aol.com,480-250-1306,************5586
City Hotel,0,48,2017,April,17,24,1,3,1,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,91.2,0,0,Check-Out,28-04-2017,Stefanie Rodriguez,Rodriguez_Stefanie30@yandex.com,696-342-6747,************1559
Resort Hotel,0,318,2017,June,22,2,2,5,2,0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,250,,0,Transient,96.91,1,0,Check-Out,09-06-2017,Danielle Sloan,Danielle.Sloan@outlook.com,333-117-3623,************3280
City Hotel,0,183,2016,July,31,26,0,2,3,0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,137.7,1,1,Check-Out,28-07-2016,Linda Diaz,Linda_Diaz@outlook.com,307-379-0989,************9643
City Hotel,0,6,2016,November,47,16,0,1,1,0,0,SC,ESP,Online TA,GDS,0,0,0,E,E,0,No Deposit,195,,0,Transient,120,0,0,Check-Out,17-11-2016,Jordan Santiago,JSantiago53@protonmail.com,264-888-4937,************7213
City Hotel,1,13,2016,June,25,12,2,0,1,0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,115,0,0,Canceled,08-06-2016,Amber Nunez,ANunez12@yahoo.com,607-010-0655,************9323
Resort Hotel,0,27,2015,July,31,27,1,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,153,0,0,Check-Out,31-07-2015,Brandy Mays,Brandy.Mays@hotmail.com,944-114-6694,************8389
Resort Hotel,0,5,2015,September,38,16,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,66.6,1,2,Check-Out,17-09-2015,Sara Perez,Perez_Sara@outlook.com,591-569-1199,************6370
City Hotel,0,86,2016,June,25,17,2,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126.9,0,1,Check-Out,22-06-2016,Sarah Ramirez,Sarah.R@att.com,245-037-9710,************7648
City Hotel,0,150,2016,October,41,3,1,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient,118.8,0,2,Check-Out,06-10-2016,Holly Hill,Holly.H@gmail.com,370-564-0882,************8876
City Hotel,0,14,2017,August,32,9,0,3,4,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,G,G,0,No Deposit,159,,0,Transient,275.9,0,0,Check-Out,12-08-2017,Sheila Fields,Fields.Sheila56@protonmail.com,512-808-6572,************2566
Resort Hotel,0,277,2015,October,41,6,2,5,2,0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273,,0,Transient-Party,68.74,0,0,Check-Out,13-10-2015,Joseph Myers,JMyers@yahoo.com,289-723-4735,************2574
Resort Hotel,1,333,2016,July,29,15,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,115.5,0,2,Canceled,17-10-2015,Mark Francis,MFrancis50@aol.com,466-793-5548,************9250
City Hotel,1,256,2016,October,43,18,2,5,2,0,0,SC,DZA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,83.18,0,1,Canceled,11-10-2016,William Wood,William.W@mail.com,578-515-6560,************2020
City Hotel,0,434,2017,June,22,3,2,1,2,0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229,,0,Transient-Party,112.67,0,1,Check-Out,06-06-2017,Nathan Smith,Nathan.Smith@aol.com,420-042-8922,************1636
Resort Hotel,0,258,2016,June,25,12,1,0,2,0,0,BB,EST,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,64.8,1,2,Check-Out,13-06-2016,Jason Garcia,Jason.G@zoho.com,404-239-9913,************6094
City Hotel,0,107,2017,April,15,14,0,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126,0,1,Check-Out,15-04-2017,Matthew Dean,Dean_Matthew@hotmail.com,642-860-4902,************7237
City Hotel,0,219,2017,June,25,20,2,8,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,130.5,0,2,Check-Out,30-06-2017,Jill Wells,JillWells@mail.com,871-845-5173,************7359
Resort Hotel,0,122,2016,December,52,23,4,7,1,0,0,BB,PRT,Direct,Direct,0,0,3,E,E,3,No Deposit,,,0,Transient,48.8,0,3,Check-Out,03-01-2017,Mario Ross,Mario_Ross@mail.com,468-465-8550,************6577
City Hotel,1,89,2016,May,22,26,0,2,3,2,0,BB,GBR,Direct,Direct,0,0,0,B,B,0,No Deposit,14,,0,Transient,257.55,0,0,Canceled,27-02-2016,Keith Foley,Keith_F@yandex.com,551-254-0464,************1354
City Hotel,1,335,2015,September,38,17,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,5,,0,Transient,85,0,0,Canceled,14-05-2015,Emily Collins,Emily.C29@aol.com,540-277-1002,************5495
Resort Hotel,0,3,2015,December,49,5,2,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,54,1,1,Check-Out,09-12-2015,Andrew Perry,APerry@comcast.net,650-827-9148,************2749
Resort Hotel,0,67,2016,August,35,27,4,7,2,0,0,HB,PRT,Direct,Direct,0,0,1,F,F,4,No Deposit,,,0,Transient,214.92,0,1,Check-Out,07-09-2016,William Hoffman,Hoffman_William@xfinity.com,261-302-6481,************7071
Resort Hotel,0,62,2016,December,53,30,1,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,150,0,1,Check-Out,02-01-2017,Jack Scott,Jack.Scott@yahoo.com,740-979-4788,************6431
Resort Hotel,1,60,2016,March,13,22,0,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,83.4,0,1,Canceled,13-02-2016,Ashley Sanders,AshleySanders@mail.com,501-741-0037,************5841
Resort Hotel,0,24,2015,December,51,19,2,3,2,1,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,314,,0,Transient,91.9,0,1,Check-Out,24-12-2015,Wendy Phillips,Phillips_Wendy37@protonmail.com,559-322-6050,************2311
City Hotel,0,25,2016,November,47,17,0,3,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,88,0,2,Check-Out,20-11-2016,Brenda Williams,Brenda_Williams60@mail.com,295-588-2462,************3972
Resort Hotel,1,124,2017,July,31,30,2,3,2,0,0,BB,CN,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,201.6,0,0,Canceled,11-04-2017,Brittany Moore,Brittany_Moore@protonmail.com,100-752-0169,************4724
City Hotel,1,280,2016,September,39,19,1,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6,,35,Transient,100,0,0,Canceled,18-01-2016,Christopher Sandoval,Christopher.S@yandex.com,870-497-0766,************8657
Resort Hotel,0,66,2017,January,2,10,0,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,,0,Transient,37,0,1,Check-Out,14-01-2017,Kyle Huff,Kyle_Huff63@xfinity.com,704-034-6139,************8979
Resort Hotel,0,22,2017,February,7,13,1,3,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314,,0,Transient,46.4,0,0,Check-Out,17-02-2017,Amy Anderson,Amy_Anderson@yandex.com,333-723-1468,************1627
City Hotel,0,75,2017,March,9,1,2,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,91.8,0,1,Check-Out,07-03-2017,Robert Allen,Robert_Allen@hotmail.com,756-204-9126,************3783
Resort Hotel,0,61,2016,April,16,13,0,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,59.65,0,2,Check-Out,17-04-2016,Colleen Haney,Colleen.Haney@att.com,736-244-8869,************6367
Resort Hotel,1,26,2015,December,51,19,0,1,2,0,0,BB,PRT,Direct,Direct,0,1,0,D,D,0,No Deposit,,,0,Transient,48,0,0,Canceled,10-12-2015,Frederick Fisher,FFisher44@yahoo.com,237-653-7614,************4500
City Hotel,0,73,2016,January,3,10,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83,,0,Transient,59.8,0,0,Check-Out,13-01-2016,Emily Russell,Emily_Russell76@zoho.com,783-607-1874,************2825
City Hotel,0,84,2015,October,42,16,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,89.25,0,2,Check-Out,19-10-2015,Victor Murray,Victor_M@yandex.com,275-679-3708,************5536
City Hotel,0,137,2017,April,15,11,0,4,3,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,,0,Transient,136.8,0,0,Check-Out,15-04-2017,James Martinez,James_M@verizon.com,596-649-6593,************4770
City Hotel,0,107,2016,July,29,13,0,4,3,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,189,0,2,Check-Out,17-07-2016,Steven Brooks,Steven_Brooks@outlook.com,799-078-9171,************8299
City Hotel,0,88,2016,October,43,20,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,132.3,0,1,Check-Out,23-10-2016,Earl Mooney,Mooney_Earl@verizon.com,477-616-3077,************6909
City Hotel,1,315,2016,September,38,17,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,38,Transient-Party,65,0,0,Canceled,19-08-2016,Maria Scott,MScott@att.com,723-907-4818,************5600
City Hotel,0,0,2016,October,42,13,0,1,1,0,0,SC,KOR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,120,0,1,Check-Out,14-10-2016,Patricia Dominguez,Patricia_D@zoho.com,270-831-7845,************2162
Resort Hotel,0,239,2015,September,38,19,1,1,2,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,248,,0,Transient-Party,80,0,0,Check-Out,21-09-2015,David Brown,DBrown@verizon.com,445-833-4439,************3861
City Hotel,1,117,2016,February,10,29,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19,,44,Transient,75,0,0,Canceled,18-12-2015,Kelsey Oconnell,Kelsey_Oconnell@comcast.net,189-561-4039,************5486
City Hotel,1,66,2017,April,15,9,2,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100,0,0,Canceled,02-02-2017,Andre Sherman,Andre.Sherman68@comcast.net,374-535-1623,************8606
City Hotel,0,69,2017,March,12,19,2,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,100.3,0,0,Check-Out,23-03-2017,Bethany Oliver,Bethany_O@verizon.com,603-075-3213,************4838
City Hotel,0,10,2017,February,7,12,2,1,2,0,0,BB,IND,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,108,0,1,Check-Out,15-02-2017,Ryan Spencer,Ryan.S@verizon.com,687-388-8118,************8889
City Hotel,0,132,2016,July,29,11,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,101.58,0,1,Check-Out,15-07-2016,Alyssa May,Alyssa_May84@protonmail.com,234-848-1840,************9309
Resort Hotel,1,39,2017,February,6,11,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,48,0,1,Canceled,09-01-2017,Teresa Shepherd,TShepherd@hotmail.com,803-116-2915,************8025
City Hotel,1,419,2016,September,36,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,62,0,0,Canceled,21-10-2015,Amanda Finley DDS,Amanda.D38@outlook.com,945-153-4176,************7253
Resort Hotel,1,47,2015,August,32,3,1,1,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,205,0,0,Canceled,17-06-2015,Zoe Medina,ZoeMedina16@zoho.com,136-638-8262,************5281
City Hotel,1,103,2017,June,26,28,0,4,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126,0,0,Canceled,28-05-2017,Samantha Hardy,Hardy.Samantha@protonmail.com,703-841-6017,************9828
City Hotel,0,8,2016,February,6,5,0,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,,0,Transient,93,0,1,Check-Out,07-02-2016,Thomas Camacho,Thomas.C@att.com,487-161-4980,************3663
City Hotel,1,52,2016,July,28,9,2,1,2,0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,116.1,0,0,Canceled,06-06-2016,Michael Kelley,Michael.K@aol.com,857-384-4072,************6524
City Hotel,0,100,2015,October,42,15,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,89.25,0,1,Check-Out,19-10-2015,Janet Rodriguez,Janet.R@yahoo.com,151-752-8895,************9008
Resort Hotel,0,282,2017,June,25,24,2,5,2,2,0,HB,ESP,Direct,Direct,0,0,0,C,C,1,No Deposit,250,,0,Transient,154.8,0,1,Check-Out,01-07-2017,Jason Jones,Jason_J@gmail.com,592-072-2366,************3793
Resort Hotel,0,7,2016,November,45,5,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,,0,Transient,55,0,0,Check-Out,06-11-2016,Jaclyn Gill,Gill_Jaclyn@zoho.com,130-625-8552,************9209
